locus_tag	ftype	length_bp	gene	EC_number	COG	product
IMKOHAHG_01040	CDS	1155	napA			Na(+)/H(+) antiporter
IMKOHAHG_01041	CDS	1194	gbuA	7.6.2.9		Glycine betaine/carnitine transport ATP-binding protein GbuA
IMKOHAHG_01042	CDS	849	gbuB			Glycine betaine/carnitine transport permease protein GbuB
IMKOHAHG_01043	CDS	909	gbuC			Glycine betaine/carnitine transport binding protein GbuC
IMKOHAHG_01044	CDS	474	bsaA			Glutathione peroxidase BsaA
IMKOHAHG_01045	CDS	1188	braC		COG0683	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein
IMKOHAHG_01046	CDS	759	fpuC	7.2.2.-	COG1120	Petrobactin import ATP-binding protein FpuC
IMKOHAHG_01047	CDS	963	isdF			putative heme-iron transport system permease protein IsdF
IMKOHAHG_01048	CDS	888	isdE			High-affinity heme uptake system protein IsdE
IMKOHAHG_01049	CDS	696				hypothetical protein
IMKOHAHG_01050	CDS	3348				hypothetical protein
IMKOHAHG_01051	CDS	153	rpmG3		COG0267	50S ribosomal protein L33 3
IMKOHAHG_01052	CDS	180				hypothetical protein
IMKOHAHG_01053	CDS	549	nusG		COG0250	Transcription termination/antitermination protein NusG
IMKOHAHG_01054	CDS	426	rplK			50S ribosomal protein L11
IMKOHAHG_01055	CDS	693	rplA			50S ribosomal protein L1
IMKOHAHG_01056	CDS	501	rplJ			50S ribosomal protein L10
IMKOHAHG_01057	CDS	369	rplL		COG0222	50S ribosomal protein L7/L12
IMKOHAHG_01058	CDS	978	nrdF	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 2 subunit beta
IMKOHAHG_01059	CDS	2166	nrdE2	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha 2
IMKOHAHG_01060	CDS	231	nrdH		COG0695	Glutaredoxin-like protein NrdH
IMKOHAHG_01061	CDS	630	rsmC	2.1.1.172		Ribosomal RNA small subunit methyltransferase C
IMKOHAHG_01062	CDS	501	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
IMKOHAHG_01063	CDS	1755	ruvB_2	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
IMKOHAHG_01064	CDS	315				Nucleoid-associated protein
IMKOHAHG_01065	CDS	600	recR		COG0353	Recombination protein RecR
IMKOHAHG_01066	CDS	246				hypothetical protein
IMKOHAHG_01067	CDS	639	tmk_1	2.7.4.9	COG0125	Thymidylate kinase
IMKOHAHG_01068	CDS	330	darA		COG3870	Cyclic di-AMP receptor A
IMKOHAHG_01069	CDS	1008				hypothetical protein
IMKOHAHG_01070	CDS	342	yabA		COG4467	Initiation-control protein YabA
IMKOHAHG_01071	CDS	864	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
IMKOHAHG_01072	CDS	774				hypothetical protein
IMKOHAHG_01073	CDS	996	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
IMKOHAHG_01074	CDS	729	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
IMKOHAHG_01075	CDS	582	mshD	2.3.1.189		Mycothiol acetyltransferase
IMKOHAHG_01076	CDS	1032	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
IMKOHAHG_01077	CDS	1923	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
IMKOHAHG_01078	CDS	645	rex		COG2344	Redox-sensing transcriptional repressor Rex
IMKOHAHG_01079	CDS	285	groS			10 kDa chaperonin
IMKOHAHG_01080	CDS	1629	groL		COG0459	60 kDa chaperonin
IMKOHAHG_01081	CDS	1839	kimA		COG0531	Potassium transporter KimA
IMKOHAHG_01082	CDS	633	yigZ		COG1739	IMPACT family member YigZ
IMKOHAHG_01083	CDS	1335	comFA	3.6.4.12	COG4098	ComF operon protein 1
IMKOHAHG_01084	CDS	672				hypothetical protein
IMKOHAHG_01085	CDS	549	hpf			Ribosome hibernation promotion factor
IMKOHAHG_01086	CDS	2364	secA		COG0653	Protein translocase subunit SecA
IMKOHAHG_01087	CDS	999	prfB			Peptide chain release factor 2
IMKOHAHG_01088	CDS	693	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
IMKOHAHG_01089	CDS	1353	phoR	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
IMKOHAHG_01090	CDS	846	pstS1		COG0226	Phosphate-binding protein PstS 1
IMKOHAHG_01091	CDS	921				hypothetical protein
IMKOHAHG_01092	CDS	885	pstA		COG0581	Phosphate transport system permease protein PstA
IMKOHAHG_01093	CDS	792	pstB3_1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
IMKOHAHG_01094	CDS	759	pstB3_2	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
IMKOHAHG_01095	CDS	675	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
IMKOHAHG_01096	CDS	144				hypothetical protein
IMKOHAHG_01097	CDS	309				hypothetical protein
IMKOHAHG_01098	CDS	363				hypothetical protein
IMKOHAHG_01099	CDS	936	hprK	2.7.11.-	COG1493	HPr kinase/phosphorylase
IMKOHAHG_01100	CDS	837	lgt_2	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
IMKOHAHG_01101	CDS	1017	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
IMKOHAHG_01102	CDS	894	gtaB	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
IMKOHAHG_01103	CDS	300				hypothetical protein
IMKOHAHG_01104	CDS	714				hypothetical protein
IMKOHAHG_01105	CDS	156				hypothetical protein
IMKOHAHG_01106	CDS	192				hypothetical protein
IMKOHAHG_01107	CDS	345				hypothetical protein
IMKOHAHG_01108	CDS	456				hypothetical protein
IMKOHAHG_01109	CDS	717				hypothetical protein
IMKOHAHG_01110	CDS	258				hypothetical protein
IMKOHAHG_01111	CDS	573				hypothetical protein
IMKOHAHG_01112	CDS	1134	xerC_5			Tyrosine recombinase XerC
IMKOHAHG_01113	tRNA	75				tRNA-Arg(tct)
IMKOHAHG_01114	CDS	135				hypothetical protein
IMKOHAHG_01115	CDS	540				hypothetical protein
IMKOHAHG_01116	CDS	942				hypothetical protein
IMKOHAHG_01117	CDS	882				hypothetical protein
IMKOHAHG_01118	CDS	1341	glnA	6.3.1.2	COG0174	Glutamine synthetase
IMKOHAHG_01119	CDS	387	glnR		COG0789	HTH-type transcriptional regulator GlnR
IMKOHAHG_01120	CDS	918	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
IMKOHAHG_01121	CDS	177				hypothetical protein
IMKOHAHG_01122	CDS	414				hypothetical protein
IMKOHAHG_01123	CDS	969	glcK_1	2.7.1.2	COG1940	Glucokinase
IMKOHAHG_01124	CDS	216	yqgQ		COG4483	putative protein YqgQ
IMKOHAHG_01125	CDS	672	gluP	3.4.21.105	COG0705	Rhomboid protease GluP
IMKOHAHG_01126	CDS	564	yqgN		COG0212	putative protein YqgN
IMKOHAHG_01127	CDS	150	rpmGA		COG0267	50S ribosomal protein L33 1
IMKOHAHG_01128	CDS	2064	penA		COG0768	Penicillin-binding protein 2B
IMKOHAHG_01129	CDS	2649				hypothetical protein
IMKOHAHG_01130	CDS	306				hypothetical protein
IMKOHAHG_01131	CDS	477	greA_1		COG0782	Transcription elongation factor GreA
IMKOHAHG_01132	CDS	690	udk	2.7.1.48	COG0572	Uridine kinase
IMKOHAHG_01133	CDS	1107	mltG	4.2.2.-		Endolytic murein transglycosylase
IMKOHAHG_01134	CDS	2418	pheT	6.1.1.20		Phenylalanine--tRNA ligase beta subunit
IMKOHAHG_01135	CDS	1047	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
IMKOHAHG_01136	CDS	339	yodB		COG1733	HTH-type transcriptional regulator YodB
IMKOHAHG_01137	CDS	504				hypothetical protein
IMKOHAHG_01138	CDS	771	rlmB	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
IMKOHAHG_01139	CDS	270	yccX	3.6.1.7	COG1254	Acylphosphatase
IMKOHAHG_01140	CDS	915	yidC			Membrane protein insertase YidC
IMKOHAHG_01141	CDS	1209				IS110 family transposase ISSsu7
IMKOHAHG_01142	CDS	1497	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
IMKOHAHG_01143	CDS	687	arlR		COG0745	Response regulator ArlR
IMKOHAHG_01144	CDS	1017	adhA_1	1.1.1.1		Alcohol dehydrogenase 1
IMKOHAHG_01145	CDS	1209				IS110 family transposase ISSsu7
IMKOHAHG_01146	CDS	702				hypothetical protein
IMKOHAHG_01147	CDS	180	rpmF			50S ribosomal protein L32
IMKOHAHG_01148	CDS	561				hypothetical protein
IMKOHAHG_01149	CDS	1140	tmcAL	6.3.4.-	COG1323	tRNA(Met) cytidine acetate ligase
IMKOHAHG_01150	CDS	741	cmoM	2.1.1.-		tRNA 5-carboxymethoxyuridine methyltransferase
IMKOHAHG_01151	CDS	357	rsfS		COG0799	Ribosomal silencing factor RsfS
IMKOHAHG_01152	CDS	609				hypothetical protein
IMKOHAHG_01153	CDS	636	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
IMKOHAHG_01154	CDS	312	yhbY		COG1534	RNA-binding protein YhbY
IMKOHAHG_01155	CDS	1125	yqeH		COG1161	putative protein YqeH
IMKOHAHG_01156	CDS	531				hypothetical protein
IMKOHAHG_01157	CDS	354	rplT		COG0292	50S ribosomal protein L20
IMKOHAHG_01158	CDS	198	rpmI		COG0291	50S ribosomal protein L35
IMKOHAHG_01159	CDS	510	infC			Translation initiation factor IF-3
IMKOHAHG_01160	CDS	933	dnaI		COG1484	Primosomal protein DnaI
IMKOHAHG_01161	CDS	1368	dnaB		COG3611	Replication initiation and membrane attachment protein
IMKOHAHG_01162	CDS	474	nrdR		COG1327	Transcriptional repressor NrdR
IMKOHAHG_01163	CDS	600	coaE	2.7.1.24		Dephospho-CoA kinase
IMKOHAHG_01164	CDS	837	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
IMKOHAHG_01165	CDS	2667	polA	2.7.7.7		DNA polymerase I
IMKOHAHG_01166	CDS	714	ybhL		COG0670	Inner membrane protein YbhL
IMKOHAHG_01167	CDS	1332	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
IMKOHAHG_01168	CDS	390				hypothetical protein
IMKOHAHG_01169	CDS	636				hypothetical protein
IMKOHAHG_01170	CDS	321	ytpP			Thioredoxin-like protein YtpP
IMKOHAHG_01171	CDS	330				hypothetical protein
IMKOHAHG_01172	CDS	645	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
IMKOHAHG_01173	CDS	1209				hypothetical protein
IMKOHAHG_01174	CDS	747	ecsA		COG1131	ABC-type transporter ATP-binding protein EcsA
IMKOHAHG_01175	CDS	429	hit_1		COG0537	Protein hit
IMKOHAHG_01176	CDS	261				hypothetical protein
IMKOHAHG_01177	CDS	909	prsA	5.2.1.8		Foldase protein PrsA
IMKOHAHG_01178	CDS	948	yhaM	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
IMKOHAHG_01179	CDS	2562				hypothetical protein
IMKOHAHG_01180	CDS	1245				hypothetical protein
IMKOHAHG_01181	CDS	345				hypothetical protein
IMKOHAHG_01182	CDS	918	rbsK/rbiA			Bifunctional ribokinase/ribose-5-phosphate isomerase A
IMKOHAHG_01183	CDS	1014	degA		COG1609	HTH-type transcriptional regulator DegA
IMKOHAHG_01184	CDS	2127	pbpF		COG0744	Penicillin-binding protein 1F
IMKOHAHG_01185	CDS	2514	uvrA_1		COG0178	UvrABC system protein A
IMKOHAHG_01186	CDS	648				hypothetical protein
IMKOHAHG_01187	CDS	483	manX_1	2.7.1.191		PTS system mannose-specific EIIAB component
IMKOHAHG_01188	CDS	420	manX_2	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
IMKOHAHG_01189	CDS	897	manZ		COG3716	PTS system mannose-specific EIID component
IMKOHAHG_01190	CDS	777	sorA		COG3715	PTS system sorbose-specific EIIC component
IMKOHAHG_01191	CDS	642	gpmA_5	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
IMKOHAHG_01192	CDS	888	hdfR_2			HTH-type transcriptional regulator HdfR
IMKOHAHG_01193	CDS	741		1.-.-.-		putative oxidoreductase
IMKOHAHG_01194	CDS	741		1.-.-.-		putative oxidoreductase
IMKOHAHG_01195	CDS	2727	ctpF	3.6.3.-	COG0474	putative cation-transporting ATPase F
IMKOHAHG_01196	CDS	1089	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
IMKOHAHG_01197	CDS	1353	cycA_2		COG1113	D-serine/D-alanine/glycine transporter
IMKOHAHG_01198	CDS	96				hypothetical protein
IMKOHAHG_01199	CDS	1245				hypothetical protein
IMKOHAHG_01200	CDS	834	gpmA_6	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
IMKOHAHG_01201	CDS	2091	copB_2	7.2.2.8		Copper-exporting P-type ATPase B
IMKOHAHG_01202	CDS	459	copY			Transcriptional repressor CopY
IMKOHAHG_01203	CDS	1176				hypothetical protein
IMKOHAHG_01204	CDS	768				hypothetical protein
IMKOHAHG_01205	CDS	663	ktrA		COG0569	Ktr system potassium uptake protein A
IMKOHAHG_01206	CDS	1347	ntpJ			Potassium/sodium uptake protein NtpJ
IMKOHAHG_01207	CDS	726	puuD	3.5.1.94	COG2071	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
IMKOHAHG_01208	CDS	744	glnQ_4			Glutamine transport ATP-binding protein GlnQ
IMKOHAHG_01209	CDS	1464	mltF_4	4.2.2.-		Membrane-bound lytic murein transglycosylase F
IMKOHAHG_01210	CDS	1032	lplA	6.3.1.20		Lipoate--protein ligase
IMKOHAHG_01211	CDS	519	yagU		COG3477	Inner membrane protein YagU
IMKOHAHG_01212	CDS	1323	xylP_2			Isoprimeverose transporter
IMKOHAHG_01213	CDS	282				hypothetical protein
IMKOHAHG_01214	CDS	333				hypothetical protein
IMKOHAHG_01215	CDS	240				hypothetical protein
IMKOHAHG_01216	CDS	1110				hypothetical protein
IMKOHAHG_01217	CDS	906	exuR_1		COG1609	putative HTH-type transcriptional repressor ExuR
IMKOHAHG_01218	CDS	1446	uxaC_1	5.3.1.12	COG1904	Uronate isomerase
IMKOHAHG_01219	CDS	1563				hypothetical protein
IMKOHAHG_01220	CDS	1470	yjmB_2		COG2211	putative symporter YjmB
IMKOHAHG_01221	CDS	1011	exuR_2		COG1609	putative HTH-type transcriptional repressor ExuR
IMKOHAHG_01222	CDS	1398	xylP_3			Isoprimeverose transporter
IMKOHAHG_01223	CDS	1545	xynB_2	3.2.1.37		Beta-xylosidase
IMKOHAHG_01224	CDS	468	greA_2		COG0782	Transcription elongation factor GreA
IMKOHAHG_01225	CDS	684				hypothetical protein
IMKOHAHG_01226	CDS	957	pks1			Putative inactive phenolphthiocerol synthesis polyketide synthase type I Pks1
IMKOHAHG_01227	CDS	552				hypothetical protein
IMKOHAHG_01228	CDS	837		3.-.-.-		putative hydrolase
IMKOHAHG_01229	CDS	945				hypothetical protein
IMKOHAHG_01230	CDS	1224				hypothetical protein
IMKOHAHG_01231	CDS	1392		1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
IMKOHAHG_01232	CDS	756				hypothetical protein
IMKOHAHG_01233	CDS	1197	pbuE		COG2814	Purine efflux pump PbuE
IMKOHAHG_01234	CDS	906	rhaR_1			HTH-type transcriptional activator RhaR
IMKOHAHG_01235	CDS	1467	xylP_4			Isoprimeverose transporter
IMKOHAHG_01236	CDS	1623	xynB_3	3.2.1.37		Beta-xylosidase
IMKOHAHG_01237	CDS	294				hypothetical protein
IMKOHAHG_01238	CDS	339				hypothetical protein
IMKOHAHG_01239	CDS	201				hypothetical protein
IMKOHAHG_01240	CDS	492	hmpT		COG4720	Thiamine precursor transporter HmpT
IMKOHAHG_01241	CDS	852	pdxK	2.7.1.35		Pyridoxine/pyridoxal/pyridoxamine kinase
IMKOHAHG_01242	CDS	510	ymdB	3.1.1.106	COG2110	O-acetyl-ADP-ribose deacetylase
IMKOHAHG_01243	CDS	1338				Nucleobase transporter PlUacP
IMKOHAHG_01244	CDS	1392	nhaC		COG1757	Na(+)/H(+) antiporter NhaC
IMKOHAHG_01245	CDS	711	menG	2.1.1.163		Demethylmenaquinone methyltransferase
IMKOHAHG_01246	CDS	1905	pepO	3.4.24.-	COG3590	Neutral endopeptidase
IMKOHAHG_01247	CDS	1311	pbuG		COG2252	Guanine/hypoxanthine permease PbuG
IMKOHAHG_01248	CDS	297				hypothetical protein
IMKOHAHG_01249	CDS	1371				hypothetical protein
IMKOHAHG_01250	CDS	1215				hypothetical protein
IMKOHAHG_01251	CDS	627		3.2.2.-	COG2094	Putative 3-methyladenine DNA glycosylase
IMKOHAHG_01252	CDS	363				hypothetical protein
IMKOHAHG_01253	CDS	177				hypothetical protein
IMKOHAHG_01254	CDS	690	kefG	1.6.5.2		Glutathione-regulated potassium-efflux system ancillary protein KefG
IMKOHAHG_01255	CDS	327				hypothetical protein
IMKOHAHG_01256	CDS	318				hypothetical protein
IMKOHAHG_01257	CDS	393				hypothetical protein
IMKOHAHG_01258	CDS	933	yxeI_2		COG3049	putative protein YxeI
IMKOHAHG_01259	CDS	633	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
IMKOHAHG_01260	CDS	1257	mepA_1			Multidrug export protein MepA
IMKOHAHG_01261	CDS	294				hypothetical protein
IMKOHAHG_01262	CDS	255				hypothetical protein
IMKOHAHG_01263	CDS	246				hypothetical protein
IMKOHAHG_01264	CDS	240				hypothetical protein
IMKOHAHG_01265	CDS	138				hypothetical protein
IMKOHAHG_01266	tRNA	72				tRNA-Arg(tcg)
IMKOHAHG_01267	CDS	507	adaB	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase, inducible
IMKOHAHG_01268	CDS	558	ddpX	3.4.13.22	COG2173	D-alanyl-D-alanine dipeptidase
IMKOHAHG_01269	CDS	924	yicL		COG0697	putative inner membrane transporter YicL
IMKOHAHG_01270	CDS	357	gcvH_2			Glycine cleavage system H protein
IMKOHAHG_01271	CDS	447			COG0789	putative HTH-type transcriptional regulator
IMKOHAHG_01272	CDS	1038				hypothetical protein
IMKOHAHG_01273	CDS	609				hypothetical protein
IMKOHAHG_01274	CDS	1479	emrB_3			Multidrug export protein EmrB
IMKOHAHG_01275	CDS	1194		1.17.1.9		Formate dehydrogenase
IMKOHAHG_01276	CDS	678				hypothetical protein
IMKOHAHG_01277	CDS	1551				hypothetical protein
IMKOHAHG_01278	CDS	1491	mltF_5	4.2.2.-		Membrane-bound lytic murein transglycosylase F
IMKOHAHG_01279	CDS	3138				hypothetical protein
IMKOHAHG_01280	CDS	576				hypothetical protein
IMKOHAHG_01281	CDS	366	hit_2		COG0537	Protein hit
IMKOHAHG_01282	CDS	450				hypothetical protein
IMKOHAHG_01283	CDS	372	sulD		COG0801	Bifunctional folate synthesis protein
IMKOHAHG_01284	CDS	537				hypothetical protein
IMKOHAHG_01285	CDS	570	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
IMKOHAHG_01286	CDS	1275	fpgS_2	6.3.2.17		Folylpolyglutamate synthase
IMKOHAHG_01287	CDS	594		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
IMKOHAHG_01288	CDS	1140				hypothetical protein
IMKOHAHG_01289	CDS	333				hypothetical protein
IMKOHAHG_01290	CDS	1452	mepA_2		COG0534	Multidrug export protein MepA
IMKOHAHG_01291	CDS	237				hypothetical protein
IMKOHAHG_01292	tRNA	71				tRNA-Gly(ccc)
IMKOHAHG_01293	CDS	681				hypothetical protein
IMKOHAHG_01294	CDS	1407	brnQ		COG1114	Branched-chain amino acid transport system 2 carrier protein
IMKOHAHG_01295	CDS	1410	yhdG_3		COG0531	putative amino acid permease YhdG
IMKOHAHG_01296	CDS	2637	smc_3			Chromosome partition protein Smc
IMKOHAHG_01297	CDS	819	thiD_2	2.7.1.49		Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
IMKOHAHG_01298	CDS	435				hypothetical protein
IMKOHAHG_01299	CDS	2787	yloB	7.2.2.10	COG0474	Calcium-transporting ATPase
IMKOHAHG_01300	CDS	618	argO		COG1279	Arginine exporter protein ArgO
IMKOHAHG_01301	CDS	150				hypothetical protein
IMKOHAHG_01302	CDS	696				hypothetical protein
IMKOHAHG_01303	CDS	846				hypothetical protein
IMKOHAHG_01304	CDS	483	rutB_2	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
IMKOHAHG_01305	CDS	447	elaA		COG2153	Protein ElaA
IMKOHAHG_01306	CDS	1692	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
IMKOHAHG_01307	CDS	477	argR_1			Arginine repressor
IMKOHAHG_01308	CDS	951		1.3.1.103		2-haloacrylate reductase
IMKOHAHG_01309	CDS	438	slyA_1			Transcriptional regulator SlyA
IMKOHAHG_01310	CDS	585				hypothetical protein
IMKOHAHG_01311	CDS	216				hypothetical protein
IMKOHAHG_01312	CDS	612	yciB	2.-.-.-	COG1376	Putative L,D-transpeptidase YciB
IMKOHAHG_01313	CDS	255				hypothetical protein
IMKOHAHG_01314	CDS	1740				hypothetical protein
IMKOHAHG_01315	CDS	1101		1.13.12.4	COG1304	Lactate 2-monooxygenase
IMKOHAHG_01316	CDS	462				hypothetical protein
IMKOHAHG_01317	CDS	1326	rarA_2		COG2256	Replication-associated recombination protein A
IMKOHAHG_01318	CDS	501				hypothetical protein
IMKOHAHG_01319	CDS	942				hypothetical protein
IMKOHAHG_01320	CDS	1383	fumC	4.2.1.2		Fumarate hydratase class II
IMKOHAHG_01321	CDS	570				hypothetical protein
IMKOHAHG_01322	CDS	882	cynR_2			HTH-type transcriptional regulator CynR
IMKOHAHG_01323	CDS	348				hypothetical protein
IMKOHAHG_01324	CDS	525				hypothetical protein
IMKOHAHG_01325	CDS	744		1.-.-.-		putative oxidoreductase
IMKOHAHG_01326	CDS	420				hypothetical protein
IMKOHAHG_01327	CDS	318				hypothetical protein
IMKOHAHG_01328	CDS	2223	agaA	3.2.1.22		Alpha-galactosidase AgaA
IMKOHAHG_01329	CDS	639				hypothetical protein
IMKOHAHG_01330	CDS	636	betI			HTH-type transcriptional regulator BetI
IMKOHAHG_01331	CDS	1143	ybhR		COG0842	putative multidrug ABC transporter permease YbhR
IMKOHAHG_01332	CDS	726	ybhF		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
IMKOHAHG_01333	CDS	792				hypothetical protein
IMKOHAHG_01334	CDS	1374	mntH_3			Divalent metal cation transporter MntH
IMKOHAHG_01335	CDS	627				hypothetical protein
IMKOHAHG_01336	CDS	480				hypothetical protein
IMKOHAHG_01337	CDS	204				hypothetical protein
IMKOHAHG_01338	CDS	312				hypothetical protein
IMKOHAHG_01339	CDS	585				hypothetical protein
IMKOHAHG_01340	CDS	3252	rapA	3.6.4.-		RNA polymerase-associated protein RapA
IMKOHAHG_01341	CDS	255				hypothetical protein
IMKOHAHG_01342	CDS	264	yoeB	3.1.-.-	COG4115	Toxin YoeB
IMKOHAHG_01343	CDS	315				hypothetical protein
IMKOHAHG_01344	CDS	1215	yfeO			Putative ion-transport protein YfeO
IMKOHAHG_01345	CDS	870				DegV domain-containing protein
IMKOHAHG_01346	CDS	636				hypothetical protein
IMKOHAHG_01347	CDS	558				hypothetical protein
IMKOHAHG_01348	CDS	1005	ligJ_1	4.2.1.-		2-keto-4-carboxy-3-hexenedioate hydratase
IMKOHAHG_01349	CDS	573				hypothetical protein
IMKOHAHG_01350	CDS	687				hypothetical protein
IMKOHAHG_01351	CDS	1056	luxA	1.14.14.3	COG2141	Alkanal monooxygenase alpha chain
IMKOHAHG_01352	CDS	321				hypothetical protein
IMKOHAHG_01353	tRNA	89				tRNA-Ser(cga)
IMKOHAHG_01354	CDS	777				hypothetical protein
IMKOHAHG_01355	CDS	789				hypothetical protein
IMKOHAHG_01356	CDS	363	hxlR		COG1733	HTH-type transcriptional activator HxlR
IMKOHAHG_01357	CDS	1170	mvaS	2.3.3.10	COG3425	Hydroxymethylglutaryl-CoA synthase
IMKOHAHG_01358	CDS	1422	gabD1_2	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] 1
IMKOHAHG_01359	CDS	630	lexA	3.4.21.88	COG1974	LexA repressor
IMKOHAHG_01360	CDS	252				hypothetical protein
IMKOHAHG_01361	CDS	228				hypothetical protein
IMKOHAHG_01362	CDS	639	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
IMKOHAHG_01363	CDS	1257	tyrS	6.1.1.1		Tyrosine--tRNA ligase
IMKOHAHG_01364	CDS	252				hypothetical protein
IMKOHAHG_01365	CDS	477				hypothetical protein
IMKOHAHG_01366	CDS	1041				hypothetical protein
IMKOHAHG_01367	CDS	729	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
IMKOHAHG_01368	CDS	462	rppH	3.6.1.-		RNA pyrophosphohydrolase
IMKOHAHG_01369	CDS	657			COG1136	putative ABC transporter ATP-binding protein
IMKOHAHG_01370	CDS	1449				hypothetical protein
IMKOHAHG_01371	CDS	1890	lacL	3.2.1.23		Beta-galactosidase large subunit
IMKOHAHG_01372	CDS	972	lacM	3.2.1.23		Beta-galactosidase small subunit
IMKOHAHG_01373	CDS	1407	mdtD_2			Putative multidrug resistance protein MdtD
IMKOHAHG_01374	CDS	537				hypothetical protein
IMKOHAHG_01375	CDS	384				hypothetical protein
IMKOHAHG_01376	CDS	342				hypothetical protein
IMKOHAHG_01377	CDS	1299	dinB_2	2.7.7.7		DNA polymerase IV
IMKOHAHG_01378	CDS	1173		1.-.-.-		putative oxidoreductase
IMKOHAHG_01379	CDS	1209				IS110 family transposase ISSsu7
IMKOHAHG_01380	CDS	870	pdxI	1.1.1.65		Pyridoxine 4-dehydrogenase
IMKOHAHG_01381	CDS	2229	treP	2.4.1.64		Alpha,alpha-trehalose phosphorylase
IMKOHAHG_01382	CDS	651	aqpZ		COG0580	Aquaporin Z
IMKOHAHG_01383	CDS	438				hypothetical protein
IMKOHAHG_01384	CDS	426	ndk	2.7.4.6		Nucleoside diphosphate kinase
IMKOHAHG_01385	CDS	324	qacC			Quaternary ammonium compound-resistance protein QacC
IMKOHAHG_01386	CDS	477	dps_1	1.16.-.-	COG0783	DNA protection during starvation protein
IMKOHAHG_01387	CDS	450			COG3279	putative HTH-type transcriptional regulator
IMKOHAHG_01388	CDS	738				hypothetical protein
IMKOHAHG_01389	CDS	1212	sbnD_1			Staphyloferrin B transporter
IMKOHAHG_01390	CDS	429				hypothetical protein
IMKOHAHG_01391	CDS	1389	emrY			putative multidrug resistance protein EmrY
IMKOHAHG_01392	CDS	321	gdx		COG2076	Guanidinium exporter
IMKOHAHG_01393	CDS	213				hypothetical protein
IMKOHAHG_01394	CDS	393				hypothetical protein
IMKOHAHG_01395	CDS	543				hypothetical protein
IMKOHAHG_01396	CDS	243	copZ			Copper chaperone CopZ
IMKOHAHG_01397	CDS	1908	cadA	3.6.3.3		Cadmium-transporting ATPase
IMKOHAHG_01398	CDS	411	def	3.5.1.88	COG0242	Peptide deformylase
IMKOHAHG_01399	CDS	1788	zosA	3.6.3.-	COG2217	Zinc-transporting ATPase
IMKOHAHG_01400	CDS	1074				hypothetical protein
IMKOHAHG_01401	CDS	735	fabG3_1	1.1.1.53		3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase
IMKOHAHG_01402	CDS	270	rpsN2		COG0199	Alternate 30S ribosomal protein S14
